"CÓDIGO","NOME","PRÉ-REQUISITO","DURACAO","PERIODO"
"EDU253","ESTUDOS SOCIOLOGICOS SOBRE EDUCACAO","","1","1"
"MTM131","GEOMETRIA ANALITICA E CALCULO VETORIAL","","1","1"
"MTM256","ALGEBRA ELEMENTAR","","1","1"
"MTM257","GEOMETRIA PLANA ELEMENTAR","","1","1"
"MTM259","ELEMENTOS DE CALCULO","","1","1"
"EMA245","FUNDAMENTOS DA EDUCACAO MATEMATICA","","1","2"
"EMA485","PRATICA DE ENSINO FUNDAMENTAL I","","1","2"
"MIF001","MODULO INTERDISCIPLINAR DE FORMACAO I","","1","2"
"MTM112","INTRODUCAO A ALGEBRA LINEAR","","1","2"
"MTM122","CALCULO DIFERENCIAL E INTEGRAL I","","1","2"
"MTM246","INTRODUCAO A LOGICA E TEORIA DE CONJUNTOS","","1","2"
"EDU252","ESTUDOS HISTORICOS SOBRE EDUCACAO","","1","3"
"EMA486","PRATICA DE ENSINO FUNDAMENTAL II","","1","3"
"FIS106","FUNDAMENTOS DE MECANICA","MTM122","1","3"
"LET966","INTRODUCAO A LIBRAS","","1","3"
"MTM123","CALCULO DIFERENCIAL E INTEGRAL II","MTM122","1","3"
"MTM135","GEOMETRIA EUCLIDIANA","","1","3"
"BCC701","PROGRAMACAO DE COMPUTADORES I","","1","4"
"EDU256","PSICOLOGIA DA EDUCACAO","","1","4"
"EMA488","PRATICA DE ENSINO MEDIO I","","1","4"
"MIF002","MODULO INTERDISCIPLINAR DE FORMACAO II","","1","4"
"MTM124","CALCULO DIFERENCIAL E INTEGRAL III","MTM123","1","4"
"MTM125","INTRODUCAO AS EQUACOES DIFERENCIAIS ORDINARIAS","MTM123","1","4"
"EDU254","POLITICA E GESTAO EDUCACIONAL","","1","5"
"EMA201","ESTAGIO SUPERVISIONADO E PRATICA NO ENSINO
FUNDAMENTAL I","EMA485;EMA486","1","5"
"EMA489","PRATICA DE ENSINO MEDIO II","","1","5"
"EST202","ESTATISTICA E PROBABILIDADE","MTM122","1","5"
"MTM249","FUNDAMENTOS DE ALGEBRA","","1","5"
"BCC760","CALCULO NUMERICO","BCC701","1","6"
"EMA202","ESTAGIO SUPERVISIONADO E PRATICA NO ENSINO
FUNDAMENTAL II","EMA485;EMA486","1","6"
"MIF003","MODULO INTERDISCIPLINAR DE FORMACAO III","","1","6"
"MTM261","HISTORIA DA MATEMATICA","","1","6"
"MTM286","ANALISE I","MTM123","1","6"
"MTM390","MONOGRAFIA I","1200 horas","1","6"
"EMA203","ESTAGIO SUPERVISIONADO E PRATICA NO ENSINO MEDIO I","EMA488;EMA489","1","7"
"MTM224","FUNCOES DE UMA VARIAVEL COMPLEXA","MTM124","1","7"
"MTM253","PROGRESSOES E MATEMATICA FINANCEIRA","","1","7"
"MTM255","ANALISE COMBINATORIA","","1","7"
"MTM391","MONOGRAFIA II","MTM390","1","7"
"EMA204","ESTAGIO SUPERVISIONADO E PRATICA NO ENSINO MEDIO II","EMA488;EMA489","1","8"
"MTM248","GEOMETRIA ESPACIAL","MTM135","1","8"
"MTM260","TECNOLOGIAS NO ENSINO DE MATEMATICA","","1","8"
